Fri Aug 11 15:17:42 2023    stats.prof

         14279460 function calls (13935027 primitive calls) in 18.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    107/1    0.001    0.000   18.093   18.093 {built-in method builtins.exec}
        1    0.005    0.005   18.092   18.092 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\LSCOintercurveschecker.py:15(main)
        1    0.011    0.011   14.145   14.145 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:275(createOrbits)
       81    0.319    0.004   14.134    0.174 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:219(createOrbitsInPlane)
      153    0.580    0.004   10.930    0.071 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\integrate\_ivp\ivp.py:156(solve_ivp)
    68581    0.145    0.000    5.499    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\integrate\_ivp\base.py:159(step)
    68581    0.251    0.000    5.354    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\integrate\_ivp\lsoda.py:144(_step_impl)
    68581    0.761    0.000    5.075    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\integrate\_ode.py:1336(run)
        3    0.000    0.000    4.998    1.666 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\dispatcher.py:388(_compile_for_args)
     12/3    0.000    0.000    4.981    1.660 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\dispatcher.py:915(compile)
      6/3    0.000    0.000    4.980    1.660 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\dispatcher.py:124(compile)
      6/3    0.000    0.000    4.980    1.660 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\dispatcher.py:131(_compile_cached)
      6/3    0.000    0.000    4.980    1.660 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\dispatcher.py:146(_compile_core)
      6/3    0.000    0.000    4.979    1.660 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\compiler.py:716(compile_extra)
  650/326    0.002    0.000    4.689    0.014 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
     13/3    0.000    0.000    4.660    1.553 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\compiler.py:454(compile_extra)
     13/3    0.000    0.000    4.657    1.552 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\compiler.py:523(_compile_bytecode)
     13/3    0.000    0.000    4.657    1.552 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\compiler.py:477(_compile_core)
     13/3    0.001    0.000    4.655    1.552 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\compiler_machinery.py:342(run)
   338/78    0.012    0.000    4.653    0.060 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
 1014/234    0.002    0.000    4.597    0.020 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\compiler_machinery.py:272(check)
   144993    0.132    0.000    4.280    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\integrate\_ivp\base.py:136(fun)
   144993    0.138    0.000    4.148    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\integrate\_ivp\base.py:19(fun_wrapped)
   144993    0.645    0.000    3.955    0.000 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:239(RHS_withB)
     13/5    0.001    0.000    3.300    0.660 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typed_passes.py:435(run_pass)
     13/9    0.000    0.000    2.996    0.333 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typed_passes.py:103(run_pass)
     13/9    0.000    0.000    2.995    0.333 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typed_passes.py:66(type_inference_stage)
     13/9    0.000    0.000    2.917    0.324 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:1067(propagate)
    27/19    0.004    0.000    2.916    0.153 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:142(propagate)
  871/335    0.009    0.000    2.773    0.008 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:580(resolve)
  999/357    0.001    0.000    2.759    0.008 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\context.py:189(resolve_function_type)
  871/335    0.002    0.000    2.757    0.008 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:1519(resolve_call)
  999/357    0.004    0.000    2.755    0.008 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\context.py:233(_resolve_user_function_type)
       82    0.002    0.000    2.640    0.032 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:132(findintersections)
   269/99    0.002    0.000    2.625    0.027 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:570(__call__)
      9/6    0.000    0.000    2.574    0.429 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\types\functions.py:534(get_call_type)
      9/6    0.000    0.000    2.574    0.429 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\dispatcher.py:348(get_call_template)
     13/5    0.000    0.000    2.492    0.498 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:182(lower)
     13/5    0.000    0.000    2.379    0.476 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:233(lower_normal_function)
     13/5    0.000    0.000    2.373    0.475 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:250(lower_function_body)
     54/5    0.006    0.000    2.373    0.475 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:275(lower_block)
1710/1010    0.010    0.000    2.359    0.002 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:457(lower_inst)
  815/505    0.004    0.000    2.315    0.005 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:665(lower_assign)
  403/270    0.002    0.000    2.299    0.009 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:1185(lower_expr)
